batch_count,packet_loss,delay,client_rate,server_rate,init_cnwd_size,mtu_bytes
700,1,1,1000000,1000000,10,1500
700,2,1,1000000,1000000,10,1500
700,3,1,1000000,1000000,10,1500
700,4,1,1000000,1000000,10,1500
700,5,1,1000000,1000000,10,1500
700,6,1,1000000,1000000,10,1500
700,7,1,1000000,1000000,10,1500
700,8,1,1000000,1000000,10,1500
700,9,1,1000000,1000000,10,1500
700,10,1,1000000,1000000,10,1500
700,11,1,1000000,1000000,10,1500
700,12,1,1000000,1000000,10,1500
700,13,1,1000000,1000000,10,1500
700,14,1,1000000,1000000,10,1500
700,15,1,1000000,1000000,10,1500
700,16,1,1000000,1000000,10,1500
700,17,1,1000000,1000000,10,1500
700,18,1,1000000,1000000,10,1500
700,19,1,1000000,1000000,10,1500
700,20,1,1000000,1000000,10,1500
700,25,1,1000000,1000000,10,1500
700,30,1,1000000,1000000,10,1500
700,35,1,1000000,1000000,10,1500
700,40,1,1000000,1000000,10,1500
700,45,1,1000000,1000000,10,1500
700,50,1,1000000,1000000,10,1500
700,55,1,1000000,1000000,10,1500
700,60,1,1000000,1000000,10,1500
