batch_count,packet_loss,delay,client_rate,server_rate,init_cnwd_size,mtu_bytes
200,0,1,0.02,1000000,10,1500
200,0,1,0.04,1000000,10,1500
200,0,1,0.06,1000000,10,1500
200,0,1,0.08,1000000,10,1500
200,0,1,0.1,1000000,10,1500
200,0,1,0.2,1000000,10,1500
200,0,1,0.4,1000000,10,1500
200,0,1,0.6,1000000,10,1500
200,0,1,0.8,1000000,10,1500
500,0,1,1,1000000,10,1500
500,0,1,2,1000000,10,1500
500,0,1,3,1000000,10,1500
500,0,1,4,1000000,10,1500
500,0,1,5,1000000,10,1500
500,0,1,6,1000000,10,1500
500,0,1,7,1000000,10,1500
500,0,1,8,1000000,10,1500
500,0,1,9,1000000,10,1500
500,0,1,10,1000000,10,1500
500,0,1,15,1000000,10,1500
500,0,1,20,1000000,10,1500
500,0,1,25,1000000,10,1500
500,0,1,30,1000000,10,1500
500,0,1,35,1000000,10,1500
500,0,1,40,1000000,10,1500
500,0,1,45,1000000,10,1500
500,0,1,50,1000000,10,1500
500,0,1,75,1000000,10,1500
500,0,1,100,1000000,10,1500
500,0,1,125,1000000,10,1500
500,0,1,150,1000000,10,1500
500,0,1,175,1000000,10,1500
500,0,1,200,1000000,10,1500
