batch_count,packet_loss,delay,client_rate,server_rate,init_cnwd_size,mtu_bytes
200,0,1,1000000,0.02,10,1500
200,0,1,1000000,0.04,10,1500
200,0,1,1000000,0.06,10,1500
200,0,1,1000000,0.08,10,1500
200,0,1,1000000,0.1,10,1500
200,0,1,1000000,0.2,10,1500
200,0,1,1000000,0.4,10,1500
200,0,1,1000000,0.6,10,1500
200,0,1,1000000,0.8,10,1500
500,0,1,1000000,1,10,1500
500,0,1,1000000,2,10,1500
500,0,1,1000000,3,10,1500
500,0,1,1000000,4,10,1500
500,0,1,1000000,5,10,1500
500,0,1,1000000,6,10,1500
500,0,1,1000000,7,10,1500
500,0,1,1000000,8,10,1500
500,0,1,1000000,9,10,1500
500,0,1,1000000,10,10,1500
500,0,1,1000000,15,10,1500
500,0,1,1000000,20,10,1500
500,0,1,1000000,25,10,1500
500,0,1,1000000,30,10,1500
500,0,1,1000000,35,10,1500
500,0,1,1000000,40,10,1500
500,0,1,1000000,45,10,1500
500,0,1,1000000,50,10,1500
500,0,1,1000000,75,10,1500
500,0,1,1000000,100,10,1500
500,0,1,1000000,125,10,1500
500,0,1,1000000,150,10,1500
500,0,1,1000000,175,10,1500
500,0,1,1000000,200,10,1500
