batch_count,packet_loss,delay,client_rate,server_rate,init_cnwd_size,mtu_bytes
500,0,1,1000000,1000000,10,1500
500,0,2,1000000,1000000,10,1500
500,0,3,1000000,1000000,10,1500
500,0,4,1000000,1000000,10,1500
500,0,5,1000000,1000000,10,1500
500,0,6,1000000,1000000,10,1500
500,0,7,1000000,1000000,10,1500
500,0,8,1000000,1000000,10,1500
500,0,9,1000000,1000000,10,1500
500,0,10,1000000,1000000,10,1500
500,0,11,1000000,1000000,10,1500
500,0,12,1000000,1000000,10,1500
500,0,13,1000000,1000000,10,1500
500,0,14,1000000,1000000,10,1500
500,0,15,1000000,1000000,10,1500
500,0,20,1000000,1000000,10,1500
500,0,25,1000000,1000000,10,1500
500,0,30,1000000,1000000,10,1500
500,0,35,1000000,1000000,10,1500
500,0,40,1000000,1000000,10,1500
500,0,45,1000000,1000000,10,1500
500,0,50,1000000,1000000,10,1500
500,0,75,1000000,1000000,10,1500
500,0,100,1000000,1000000,10,1500
500,0,125,1000000,1000000,10,1500
500,0,150,1000000,1000000,10,1500
